"","morphotype","isolate","tree_sp","time","rep","pixels_per_cm","group","ppc_squared","threshold","leaf1","leaf2","area_pixels","area_cm","description","notes","threshold.1","leaf1.1","leaf2.1","area_pixels.1","area_cm.1","description.1","notes.1"
"101","SNPV","COL","GR",0,3,67.5026666139939,"control",4556.61,"143",1806,1840,3646,0.80015625651526,"init","removed shadow",NA,NA,NA,NA,NA,NA,NA
"102","SNPV","COL","GR",0,3,67.5026666139939,"treatment",4556.61,"147",1649,1548,3197,0.701618088886255,"init","removed shadow",NA,NA,NA,NA,NA,NA,NA
"103","SNPV","COL","GR",0,4,67.5026666139939,"control",4556.61,"130",1721,1768,3489,0.765700817054784,"init","removed shadow",NA,NA,NA,NA,NA,NA,NA
"104","SNPV","COL","GR",0,4,67.5026666139939,"treatment",4556.61,"133",1417,1436,2853,0.62612336803018,"init","removed shadow",NA,NA,NA,NA,NA,NA,NA
"105","SNPV","COL","GR",0,5,67.6026626694541,"control",4570.12,"146",1834,2091,3925,0.858839592833449,"init","removed shadow",NA,NA,NA,NA,NA,NA,NA
"106","SNPV","COL","GR",0,5,67.6026626694541,"treatment",4570.12,"143",1960,1659,3619,0.791882926487707,"init","removed shadow",NA,NA,NA,NA,NA,NA,NA
"107","SNPV","COL","GR",0,6,67.5026666139939,"control",4556.61,"138",1555,1213,2768,0.607469149213999,"init","removed shadow",NA,NA,NA,NA,NA,NA,NA
"108","SNPV","COL","GR",0,6,67.5026666139939,"treatment",4556.61,"147",2104,2331,4435,0.97331129940899,"init","removed shadow",NA,NA,NA,NA,NA,NA,NA
"109","SNPV","COL","GR",0,7,67.6026626694541,"control",4570.12,"145",1846,1952,3798,0.831050388173615,"init","",NA,NA,NA,NA,NA,NA,NA
"110","SNPV","COL","GR",0,7,67.6026626694541,"treatment",4570.12,"148",2070,2135,4205,0.920107130666153,"init","removed shadow",NA,NA,NA,NA,NA,NA,NA
"111","SNPV","COL","GR",0,8,67.6026626694541,"control",4570.12,"139",1174,1759,2933,0.641777458797581,"init","removed shadow",NA,NA,NA,NA,NA,NA,NA
"112","SNPV","COL","GR",0,8,67.6026626694541,"treatment",4570.12,"137",2105,1735,3840,0.84024051884852,"init","removed shadow",NA,NA,NA,NA,NA,NA,NA
"113","SNPV","COL","GR",0,9,67.6026626694541,"control",4570.12,"143",1481,1543,3024,0.66168940859321,"init","removed shadow; filled flash",NA,NA,NA,NA,NA,NA,NA
"114","SNPV","COL","GR",0,9,67.6026626694541,"treatment",4570.12,"147",1681,1655,3336,0.729958950749652,"init","removed shadow",NA,NA,NA,NA,NA,NA,NA
"115","SNPV","COL","GR",0,10,67.5026666139939,"control",4556.61,"147",1745,1879,3624,0.795328105762837,"init","removed shadow",NA,NA,NA,NA,NA,NA,NA
"116","SNPV","COL","GR",0,10,67.5026666139939,"treatment",4556.61,"151",2640,2313,4953,1.08699230348878,"init","removed shadow",NA,NA,NA,NA,NA,NA,NA
"117","SNPV","COL","GR",0,11,67.505999733357,"control",4557.06,"128",2129,2788,4917,1.07898513515293,"init","removed shadow",NA,NA,NA,NA,NA,NA,NA
"118","SNPV","COL","GR",0,11,67.505999733357,"treatment",4557.06,"128",1861,1877,3738,0.820265697620834,"init","removed shadow",NA,NA,NA,NA,NA,NA,NA
"119","SNPV","COL","GR",0,12,67.505999733357,"control",4557.06,"128",1999,1666,3665,0.804246597587041,"init","removed shadow",NA,NA,NA,NA,NA,NA,NA
"120","SNPV","COL","GR",0,12,67.505999733357,"treatment",4557.06,"128",1683,1580,3263,0.71603182753793,"init","removed shadow",NA,NA,NA,NA,NA,NA,NA
"121","SNPV","COL","GR",0,13,67.5074070010099,"control",4557.25,"118",2028,2687,4715,1.03461517362444,"init","removed shadow",NA,NA,NA,NA,NA,NA,NA
"122","SNPV","COL","GR",0,13,67.5074070010099,"treatment",4557.25,"120",1917,1641,3558,0.780733995282243,"init","removed shadow",NA,NA,NA,NA,NA,NA,NA
"123","SNPV","COL","GR",0,14,67.505999733357,"control",4557.06,"116",2004,1983,3987,0.874906189516925,"init","filled flash",NA,NA,NA,NA,NA,NA,NA
"124","SNPV","COL","GR",0,14,67.505999733357,"treatment",4557.06,"116",1618,1512,3130,0.686846343914717,"init","removed shadow",NA,NA,NA,NA,NA,NA,NA
"125","SNPV","COL","GR",0,15,67.8059731882081,"control",4597.65,"98",2031,1997,4028,0.876099746609681,"init","removed shadow",NA,NA,NA,NA,NA,NA,NA
"126","SNPV","COL","GR",0,15,67.8059731882081,"treatment",4597.65,"102",1850,1643,3493,0.759735952062467,"init","removed shadow",NA,NA,NA,NA,NA,NA,NA
"127","SNPV","COL","GR",0,16,67.4125359261911,"control",4544.45,"132",2459,1860,4319,0.950390036198,"init","",NA,NA,NA,NA,NA,NA,NA
"128","SNPV","COL","GR",0,16,67.4125359261911,"treatment",4544.45,"144",1817,1675,3492,0.768409818569904,"init","removed shadow",NA,NA,NA,NA,NA,NA,NA
"129","SNPV","COL","GR",24,1,85.8005244739215,"control",7361.73,"137",1422,1454,2876,0.390669041108544,"no change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"130","SNPV","COL","GR",24,1,85.8005244739215,"treatment",7361.73,"145",2392,2742,5134,0.697390423174988,"change","",NA,NA,NA,NA,NA,NA,NA
"131","SNPV","COL","GR",24,2,85.9005238633619,"control",7378.9,"151",2582,2471,5053,0.684790415915651,"no change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"132","SNPV","COL","GR",24,2,85.9005238633619,"treatment",7378.9,"146",2461,2725,5186,0.702814782691187,"no change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"133","SNPV","COL","GR",24,3,85.8005244739215,"control",7361.73,"136",1391,2422,3813,0.517948906031599,"change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"134","SNPV","COL","GR",24,3,85.8005244739215,"treatment",7361.73,"139",1874,1717,3591,0.487792950841718,"change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"135","SNPV","COL","GR",24,4,85.9005238633619,"control",7378.9,"133",1930,1987,3917,0.53083792977273,"tiny change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"136","SNPV","COL","GR",24,4,85.9005238633619,"treatment",7378.9,"132",1454,1832,3286,0.445323828754964,"tiny change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"137","SNPV","COL","GR",24,5,85.9005238633619,"control",7378.9,"143",2095,1923,4018,0.544525606797761,"change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"138","SNPV","COL","GR",24,5,85.9005238633619,"treatment",7378.9,"130",1636,1422,3058,0.414424914282617,"change","removed shadow",NA,NA,NA,NA,NA,NA,NA
